s1,s2,label,pred
oppo手环怎么连接手机,如何连接oppo 手环,1,0
这个人就这么搞笑,那人太搞笑了,0,1
今天我又想你了,我好想你啊,0,1
可以换一个声音吗,小布换一种声音,1,0
快给我唱歌,给我来一首,0,1
我想玩王者荣耀,我又来玩王者荣耀了,1,0
我想要原装的数据线,我想要一根原装数据线,0,1
我的智商是多少,我的智商,0,1
给我比个爱心得以吗,给我比一个爱心,0,1
他人看不穿我为什么疯癫,别人笑我太疯癫我笑他人看不穿,1,0
手机双击屏幕放大怎么关,怎么关闭双击放大,0,1
睡了睡了明天还要早起,我要睡觉了,1,0
我超孤寂,因为我无聊啊,1,0
为什么你没有身体,你不需要身体吗,0,1
孤独的滋味，我懂了,孤独呀我,1,0
早上好记住放弃不难但坚持很酷加油,你永远都是最好的不要放弃,1,0
我我我是是是个个个哑哑哑巴巴巴,我是个哑巴,1,0
我知道你最喜欢的人是谁,你爱的人是谁,0,1
微信飞信,打开微信飞信,0,1
请回答我的问题,能回答我说的问题吗,0,1
你怎么还不睡觉,早点休息,1,0
我害怕了,我怎么会这么害怕,0,1
什么意思,是什么意思,1,0
我是要被你叫爸爸啊,对呀我就是你爸爸,0,1
我让你回答,我必须让你回答我,0,1
5g开关是什么,5开关是五g吗,1,0
我就揍你,我来揍你啦,1,0
我最爱的人,我最爱的人是谁,0,1
你找我打是吧,你想打我我亲自动手打,1,0
给我找个美女陪我聊聊吧,算了给我找几个好看的美女聊聊天,0,1
设置充电时的语音,这么设置充电时的语音,1,0
你放工了是吧,你下班了吧,0,1
打开OPPO客服中心,Oppo客服中心,0,1
帮我解开手机密码,把手机密码告诉我,0,1
书币有哪些获得方法书币怎么获得,可币券怎么获取,1,0
什么用呢,你都会做些什么,0,1
再讲几个笑话,讲个笑话我听,1,0
打开微信啦,我们加个微信吧,1,0
电量什么时候能充满,手机电量什么时候才能充满,0,1
十四点四十叫我,十四点四十叫我起床,1,0
我知道吧,我知道哦我知道,0,1
把你的脸给我,让我看看你的脸,0,1
女人没有错都是男人惹的祸,男人为什么惹祸就要说是女人的错,1,0
我老婆美吗,我老婆是世界上最美的女人吗,0,1
解除锁屏密码,解除锁屏密码防护,1,0
手机常重启,手机关机怎么才能重启,1,0
拜托，你别说了行吗,你别说我,1,0
电池充电声音怎样改,怎样改进充电时的声音,0,1
讲段子,讲个笑话呗,0,1
