label_id	text
31	一种具有苯乙烯基膦酸双酯结构的铀萃取剂及其应用<sep>尤其是针对硝酸铀酰的萃取性能好，在与p204协同萃取硫酸铀酰时能有效改善分相效果。
31	一种核电二回路系统<sep>该核电二回路系统中，当蒸汽发生器的传热管出现断裂事故时，能避免向环境泄露放射性物质，还能防止质能释放导致的反应堆厂房超压。
31	核电抗辐照氢气探测器<sep>本实用新型解决了目前国内市场的核电抗辐照氢气探测器在核岛内无法直接使用的问题，同时兼具能够通过电位器上的旋钮来实现对输出电压信号大小的调节和通过接线端子来灵活调节输送线缆长度的功能。
31	核动力反应堆保护系统的停堆功能的测试装置及方法<sep>本发明通过将实际的停堆状态值与建模得到的停堆模拟值进行相关处理，能够验证该核动力反应堆保护系统的停堆功能的正确性。
31	一种具有苯基膦酸二酯结构的铀萃取剂及其应用<sep>不仅对不同酸介质中的铀有良好的萃取分离效果，而且能有效降低铀分离成本。特别是硝酸铀酰的萃取性能较好，与P204协同萃取硫酸铀酰可有效提高相分离效果。
31	一个核动力双环系统<sep>在核电站二次回路系统中，当蒸汽发生器的换热管断裂时，既可以避免放射性物质向环境泄漏，又可以防止大量能量释放导致反应堆建筑超压。
31	抗核电辐射氢探测器<sep>本实用新型专利技术解决了国内市场上的核电防辐射氢气检测仪不能直接用于核岛的问题，具有通过电位器上的旋钮调节输出电压信号大小，通过接线端子灵活调节传输电缆长度的功能。
31	核动力反应堆保护系统停机功能试验装置与方法<sep>本发明通过将实际停堆状态值与通过建模得到的停堆模拟值进行关联，可以验证核动力堆保护系统停堆功能的正确性。
31	具有苯基磷酸二酯结构的铀萃取剂及其应用<sep>不仅对不同酸性介质中的铀有良好的萃取和分离效果，还能有效降低铀分离的成本。特别是硝酸铀酰提取性能良好，硫酸铀酰与P2O4协同提取可有效改善相分离效果。
31	以原子能为动力的双环系统<sep>在核电站的二次回路系统中，如果蒸汽发生器的热交换管破损，不仅可以防止放射性物质向环境泄漏，还可以防止放射性物质的释放导致核反应堆建筑物的加压。大量的能量
31	反核辐射氢探测器<sep>实用新型专利技术解决了国内市场核抗辐射氢探测器不能直接用于核岛的问题，具有通过电位器把手调节输出电压信号的功能，灵活多变通过布线端子调整传输电缆的长度。
31	原子能发电用核反应堆保护系统停止功能的测试装置及方法<sep>以确定停机模拟值。关联处理单元处理关机状态值和关机模拟值之间的关系，并确定两者之间的相关度。本发明通过将建模得到的停机模拟值与实际停机状态值相关联，可以验证核反应堆保护系统停机功能的正确性。
31	核动力反应堆保护系统停堆功能测试装置及方法<sep>本发明通过将实际停堆状态值与模型化停堆模拟值相关联，可以验证核动力反应堆保护系统停堆功能的正确性。
31	核电用耐辐射氢检测仪<sep>传输电缆穿过接线端子。
31	核电二次回路系统<sep>在核电二回路系统中，当蒸汽发生器传热管破裂时，可避免放射性物质泄漏到环境中，防止因质量和能量释放而导致反应堆建筑超压。
31	一种具有苯乙烯基膦酸二酯结构的铀萃取剂及其应用<sep>而且可以有效降低铀分离成本。尤其是硝酸铀酰，硝酸铀酰的萃取性能好，用P2O4萃取硫酸铀酰能有效提高相分离效果。
31	一个核动力双环系统<sep>在核电站二次回路系统中，当蒸汽发生器的换热管断裂时，既可以避免放射性物质向环境泄漏，又可以防止大量能量释放导致反应堆建筑超压。
31	核动力反应堆保护系统的停堆功能的测试装置及方法<sep>本发明通过将实际的停堆状态值与建模得到的停堆模拟值进行相关处理，能够验证该核动力反应堆保护系统的停堆功能的正确性。
31	一种具有苯基膦酸二酯结构的铀萃取剂及其应用<sep>不仅对不同酸介质中的铀有良好的萃取分离效果，而且能有效降低铀分离成本。特别是硝酸铀酰的萃取性能较好，与P204协同萃取硫酸铀酰可有效提高相分离效果。
31	抗核电辐射氢探测器<sep>本实用新型专利技术解决了国内市场上的核电防辐射氢气检测仪不能直接用于核岛的问题，具有通过电位器上的旋钮调节输出电压信号大小，通过接线端子灵活调节传输电缆长度的功能。
31	核动力反应堆保护系统停机功能试验装置与方法<sep>本发明通过将实际停堆状态值与通过建模得到的停堆模拟值进行关联，可以验证核动力堆保护系统停堆功能的正确性。
31	具有苯基磷酸二酯结构的铀萃取剂及其应用<sep>不仅对不同酸性介质中的铀有良好的萃取和分离效果，还能有效降低铀分离的成本。特别是硝酸铀酰提取性能良好，硫酸铀酰与P2O4协同提取可有效改善相分离效果。
31	核电抗辐照氢气探测器<sep>本实用新型解决了目前国内市场的核电抗辐照氢气探测器在核岛内无法直接使用的问题，同时兼具能够通过电位器上的旋钮来实现对输出电压信号大小的调节和通过接线端子来灵活调节输送线缆长度的功能。
31	反核辐射氢探测器<sep>实用新型专利技术解决了国内市场核抗辐射氢探测器不能直接用于核岛的问题，具有通过电位器把手调节输出电压信号的功能，灵活多变通过布线端子调整传输电缆的长度。
31	原子能发电用核反应堆保护系统停止功能的测试装置及方法<sep>以确定停机模拟值。关联处理单元处理关机状态值和关机模拟值之间的关系，并确定两者之间的相关度。本发明通过将建模得到的停机模拟值与实际停机状态值相关联，可以验证核反应堆保护系统停机功能的正确性。
31	一种具有苯乙烯基膦酸双酯结构的铀萃取剂及其应用<sep>尤其是针对硝酸铀酰的萃取性能好，在与p204协同萃取硫酸铀酰时能有效改善分相效果。
31	一种核电二回路系统<sep>该核电二回路系统中，当蒸汽发生器的传热管出现断裂事故时，能避免向环境泄露放射性物质，还能防止质能释放导致的反应堆厂房超压。
31	以原子能为动力的双环系统<sep>在核电站的二次回路系统中，如果蒸汽发生器的热交换管破损，不仅可以防止放射性物质向环境泄漏，还可以防止放射性物质的释放导致核反应堆建筑物的加压。大量的能量
31	激光共焦核聚变靶丸几何参数综合测量方法与装置<sep>属于共焦显微成像、激光惯性约束核聚变及精密光电测量技术领域本发明在激光惯性约束核聚变、高能物理和精密检测领域有广泛的应用前景。
31	核电站u型传热管流致振动及微动磨损耦合分析计算方法<sep>同时能够预测流致振动情况变化条件下长时间内的传热管磨损情况。
31	一种核电站身份识别和电子剂量计门控成套设备<sep>本实用新型能够实现人员身份自动识别，实现辐射控制区人员进出实体隔离控制，管控人员进入辐射控制区前必须启动随身携带的电子剂量计后才能进入，以便建立个人剂量档案、提高人员通过率、辐射剂量管理水平及剂量统计分析和后续辐射剂量优化管理，避免发生人员辐射照射意外事件。
31	一种海上核动力平台反应堆舱制冷系统<sep>本发明在春、夏和秋季使用第一空调冷水机组进行制冷，在冬季使用水‑水板式换热器进行制冷，本发明不仅安全稳定，还能提高系统效率，降低经济成本。
31	一种核检修用负压空气隔离间配套支架<sep>本实用新型可快速搭建和拆除，能有效提高了工作效率和防护水平，降低了废物的产生量，降低了整体支架沾污风险，适合被广泛推广和使用。
31	一种核电厂人员闸门及其传动控制方法<sep>本发明的核电厂人员闸门及其传动控制方法设计巧妙，实用性强。
31	一种传感器响应时间测量方法<sep>可有效地定期检查传感器的实际性能，提前识别潜在的传感器性能降级，避免因传感器性能降级导致的安全系统误动作/拒动作，从而保证核电厂关键参数的测量准确可靠，系统安全、经济运行。
31	一种核电厂小型管道泄漏检测装置及其检测方法<sep>本发明提供的泄漏检测装置及其检测方法，能够满足小型管道的泄漏检测需求，检测能力强，具有良好的技术效果。
31	一种双组元共掺热力增强型二氧化铀燃料芯块及制备方法<sep>本发明设计科学，方法简单，可显著改善二氧化铀的断裂韧性和热导率，且能大幅降低混料过程中杂质的引入，具有提升效率、降低能耗、缩短周期、简化工艺等优势。
