label_id	text
22	一种沥青混合料水稳定性评价方法<sep>本发明公开了一种沥青混合料水稳定性评价方法，设置成型两组棱柱形混合料试件，一组试件在‑20℃～60℃的环境中超声震荡循环，以快速模拟荷载作用下混合料内部水、颗粒物等对沥青的乳化、冲刷和低温下冰的冻胀作用。而后对两组试件分别进行强度测试，首先模拟了荷载作用下集料间的挤压和剥离过程，实现混合料内部的结构松散，松散程度用s表示，而后施加破坏压力f表征混合料内部抵抗外部荷载的能力，最终以两组试件的f/s表征混合料水稳定性的优劣。本发明评价方法能够加速模拟荷载、水分、颗粒物、温度等因素耦合作用下对沥青路面的破坏进程，提高试验效率；评价方法耦合了外部破坏荷载和内部松散程度对混合料水稳定性能的影响，结果更科学。
22	一种测定醇胺溶液中n,n-二羟乙基甘氨酸含量的方法<sep>本发明公开了一种醇胺溶液中n,n‑二羟乙基甘氨酸含量的测定方法，属于化学检测领域。该方法包括：向装填有阳离子交换树脂的离子交换树脂柱中加入预定量的醇胺溶液样品，所述醇胺溶液样品流经所述阳离子交换树脂，醇胺吸附在所述阳离子交换树脂上，而n,n‑二羟乙基甘氨酸随流出液由所述离子交换树脂柱的出口排出；测定所述流出液中所述n,n‑二羟乙基甘氨酸质量分数，进而获得所述醇胺溶液中所述n,n‑二羟乙基甘氨酸的含量。该方法能准确测量醇胺溶液中n,n‑二羟乙基甘氨酸的含量。
22	可实现高通量组分筛选的模具及成型方法<sep>本申请公开了一种可实现高通量组分筛选的模具及成型方法，涉及材料筛选。模具包括装料模腔、多个横向隔片、底座和压头。装料模腔具有空腔，用于盛装原料及安装其他零件。多个横向隔片中每一横向隔片用于沿空腔的横向安装并与其可拆卸连接，以将空腔分成若干相等或者不等的间隔，每一间隔用于盛装不同组分不同比例的原料，以同时进行两种或者两种以上的组分优选。底座用于安装在装料模腔的底部。压头用于由装料模腔的上端至下端压入，以将原料压制成压片。在实验配料制备过程中，利用本申请可使得两种或两种以上的原料可以直接在模具中实现组分连续变化的梯度混合，可以对该模具中混合好的原料进行一次性同时压片，大大提高了工作效率。
22	一种橡胶磨耗试验设备<sep>本发明公开了一种橡胶磨耗试验设备，包括底板，底板的上表面固定安装有平板，平板上活动安装有支撑座，电机安装板与转动轴固定连接，电机安装板的顶部固定有减速电机，砂轮轴的一端固定安装有砂轮，底板上竖直设置有两个支撑柱，两个支撑柱的顶部之间设置有支撑横杆，支撑横杆的一侧活动安装有两个移动杆，两个移动杆的端部之间安装有橡胶安装辊，橡胶安装辊上安装有橡胶环，支撑横杆的一侧安装有配重槽，移动安装板的一侧设固定安装有抽风机；该橡胶磨耗试验设备测试多样化，效果好，避免橡胶环磨损导致配重块施加压力不一致，从而提高了试验结果的精确，可以快速对橡胶环进行安装和拆卸，工作效率高。
22	一种混凝土管片抗折性能试验台<sep>本发明公开了一种混凝土管片抗折性能试验台，包括机架，所述机架长轴的两端通过螺丝固定安装有第一支撑杆，第一支撑杆为l型，第一支撑杆水平部分嵌入安装有水平液压杆，且水平液压杆的伸缩端通过螺丝连接有下加力支座，所述机架短轴的两端通过螺丝固定安装有第二支撑杆，第二支撑杆的上端连接有支撑架，且支撑架的上端通过螺丝安装有竖直液压杆，竖直液压杆的伸缩端通过螺丝连接有上加力支座，本装置使用时，先将混凝土管片放置在两个下加力支座上，再加支撑架套接到第二支撑杆的上端，并固定好插销，即可用进行测试，测试时可以利用水平液压杆和竖直液压杆分别或者同时对混凝土管片进行试验，试验过程方便简单。
22	一种评价沥青混合料水稳定性的方法<sep>本发明公开了一种沥青混合料水稳定性评价方法，通过形成两组棱柱状混合料试件，其中一组试件在20℃~ 60℃的环境中进行超声振荡循环，快速模拟沥青在负载和低温条件下，水和混合料内部颗粒物对沥青的乳化、冲刷和冻胀。并对两组试件分别进行强度试验，首先模拟固定材料之间的挤压和剥离过程，实现混合物内部结构疏松，疏松程度用s，然后用破坏压力f表征混合物内部抗外力载荷的能力，最终以f/s表征两组试件对混合物水稳定性的优劣。本发明专利技术的评价方法可以加速沥青路面在模拟荷载、水分、颗粒物、温度等因素的耦合作用下的破坏过程，提高试验效率;该评价方法结合了外部破坏荷载和内部松动程度对混合料水稳定性的影响，结果更加科学。
22	乙醇胺溶液中N, N-二羟乙基甘氨酸的测定方法<sep>本发明公开了一种醇胺溶液中N, N二羟乙基甘氨酸含量的测定方法，属于化学检测领域。该方法包括:向离子交换树脂柱中填充阳离子交换树脂以添加预定体积的醇胺溶液样品，使样品流过上述的醇胺溶液阳离子交换树脂，其中醇胺吸附在上述阳离子交换树脂上，并与所述n、n‑2羟基乙基甘氨酸通过离子交换树脂柱出口排出;测定出水中N, N二羟乙基甘氨酸的质量分数，得到醇胺溶液中N, N二羟乙基甘氨酸的含量。该方法可准确测定醇胺溶液中N, N -二羟乙基甘氨酸的含量。
22	一种用于高通量元件筛选的模具和成型方法<sep>本申请公开了一种可实现高通量元件筛选的模具及成型方法，涉及材料筛选。所述模具包括装料模腔、多个横隔板、底座和压头。所述装料模腔具有用于装料和安装其他零件的型腔。每个横隔片用于沿空腔横向安装，并可拆卸与之连接，将空腔分为若干等或不等间隔，每个间隔用于含有不同比例原料的不同组分，以同时进行两个或两个以上组分。底座用于安装在充料模腔底部。压头用于将物料从装料模腔的上端压到下端压成片。在制备实验配料的过程中，本应用可以使两种或两种以上的原料直接在模具中实现连续的组分变化梯度混合，模具可以一次同时混合好原料，大大提高工作效率。
22	本实用新型涉及一种橡胶磨损测试设备<sep>本发明专利技术公开了一种橡胶磨损试验设备，包括底板，底板上固定安装有平板，平板活动安装支架，电机安装板连接固定旋转轴，电机安装板顶部固定有齿轮电机，主轴固定安装有砂轮，底板垂直设置有两立柱，两立柱顶部之间设置有支撑杆，所述移动支撑杆的一侧设有两个移动杆，两个移动杆的一端设有橡胶滚轮，橡胶滚轮安装在橡胶圈上，所述移动支撑杆的一侧设有配重槽，所述移动安装板的一侧固定有吸风机;该橡胶磨损试验设备试验多样化，效果好，避免了橡胶圈磨损造成配重块压力不一致，从而提高了试验结果的准确性，可快速安装和拆卸橡胶圈，效率高。
22	本实用新型涉及一种混凝土管片抗弯性能试验台<sep>本发明公开一种混凝土段弯曲性能测试平台,包括框架,称为框架的长轴的两端的螺丝安装第一个波兰人,首先做好l,第一级的嵌入式波兰人安装水平液压杆,和水平伸缩液压杆结束通过螺钉连接强度的支持下,描述框架短轴通过螺钉安装在两端与第二支撑杆,第二支撑杆上端与支撑架连接，并与支撑架顶部通过螺钉安装垂直液压杆，垂直液压杆的膨胀端通过螺钉连接强度支架，本装置使用前将混凝土段置于两强度支架下方，添加支撑架套筒连接到第二支撑杆上端，并固定螺栓，可用于检测，试验可以使用水平液压杆和垂直液压杆分别进行或同时对混凝土分段进行试验，试验过程方便简单。
22	一种评价沥青混合料水稳定性的方法<sep>本发明公开了一种评价沥青混合料水稳定性的方法。通过形成两组棱柱状混合料试件，其中一组试件在20°C ~ 60°C的环境中进行超声振荡循环，快速模拟沥青在荷载作用下的状态。沥青在低温条件下的乳化、冲刷和冻胀现象。分别对两组试件进行了强度试验。首先模拟固定材料之间的挤压和剥离过程，实现混合料内部结构的松动，松动程度为s。用f/s表征两组试件对混合料水稳定性的优劣。本发明专利技术的评价方法可以加速沥青路面在模拟荷载、水分、颗粒物、温度等因素的耦合作用下的破坏过程，提高试验效率;效果稳定，结果更科学。
22	乙醇胺溶液中N,N-二羟乙基甘氨酸的测定方法<sep>本发明公开了一种测定醇胺溶液中N, N二羟乙基甘氨酸含量的方法，属于化学检测领域。所述方法包括:用阳离子交换树脂填充离子交换树脂柱，加入预定体积的醇胺溶液样品，使样品流过上述醇胺溶液阳离子交换树脂，所述醇胺吸附在上述阳离子交换树脂上，并与所述n, n-2羟乙基甘氨酸结合，通过所述离子交换树脂柱出口排出;测定出水中N, N二羟乙基甘氨酸的质量分数，得到醇胺溶液中N, N二羟乙基甘氨酸的含量。该方法可准确测定醇胺溶液中N,N-二羟基乙基甘氨酸的含量。
22	用于高通量元件筛选的模具和成型方法<sep>本申请公开了一种能够实现高通量元件选择的模具和成型方法，涉及材料选择。该模具包括一个装料腔、多个隔膜、一个底座和一个柱塞。装料腔具有用于装料和安装其他零件的腔。每个膜片用于沿腔体横向安装，可拆卸地连接并将腔体分成几个相等或不相等的间隔，每个间隔是不同的组件，包含不同比例的原材料用于更多组件。底座用于连接到填充模腔的底部。压头用于将物料从充填模腔的顶端推到底端，将其压成片剂。在准备实验材料的过程中，本应用可以直接在模具中制作两种或两种以上的原料，实现成分变化的连续梯度混合，而且模具可以一次性混合原料，大大提高您的工作效率.
22	本实用新型涉及一种橡胶磨损试验设备<sep>的专利技术,本发明公开了一种橡胶磨损试验设备,其中包括一个基板,平板是固定安装在底座上,一个可移动安装支架平板,电机安装板被连接到一个固定转轴、齿轮电机固定在电机安装板的顶部,砂轮是固定安装在主轴上,底板垂直排列的两个支柱,两立柱的顶部之间设有支撑杆，移动支撑杆的一侧设有两根移动杆，两移动杆的一端设有橡胶辊，橡胶辊安装在移动支撑杆一侧的橡胶圈上，一侧设有配重槽，并在移动安装板的一侧固定有吸风机;橡胶磨损试验设备有多种试验，效果好，避免了橡胶圈磨损造成配重块。压力不一致，提高了测试结果的准确性，橡胶圈可快速安装和拆卸，效率高。
