label	text
11	一种三维可调机器人零件焊接工装<sep>本实用新型公开了一种三维可调机器人零件焊接工装<sep>涉及设备制造技术领域，其包括底板，底板上设置有第一定位组件、第二定位组件、第三定位组件、第四定位组件和第五定位组件；第一定位组件用于定位第一工件；第二定位组件用于定位第二工件；第三定位组件用于定位第三工件；第四定位组件用于定位第四工件；第五定位组件用于定位第五工件<sep>本实用新型通过第一定位组件、第二定位组件、第三定位组件、第四定位组件和第五定位组件的配合，能够配合机器人零件的形状对其进行固定限位，便于操作人员进行焊接操作，提高了工作效率
11	一种方便轮椅上楼的升降楼梯<sep>本发明提供了一种方便轮椅上楼的升降楼梯<sep>包括固定台阶，升降板，升降板凹槽，升降台阶，台阶连接杆，力传动杆，升降板受力杆，固定台阶中间设有升降板和升降台阶，升降台阶下方固定连接台阶连接杆，台阶连接杆上方固定连接升降台阶且下方通过连接螺栓活动连接力传动杆，力传动杆左端活动连接台阶连接杆且右端活动连接升降板受力杆，升降板受力杆与台阶连接杆平行且短于台阶连接杆，升降板弹簧顶端固定连接升降板且底端固定连接弹簧固定收槽底部，本发明因通过升降台阶和升降板的双重升降设计，轮椅进入升降板后通过上一个台阶的升降台阶下压，再带动内部传动结构使得下一台阶的升降板上升<sep>通过升降板的逐一上升帮助轮椅上台阶
11	一种数显双头切割锯<sep>本发明公开一种数显双头切割锯包括导轨调节机构和切割调节机构<sep>底座上设有滑架，滑架中设有主导轨，支架螺纹杆上设有与主导轨下方连接的主导轨支架，滑架下方设有拼接导轨，底座另一端设有固定座，主导轨上设有移动座和两组移动托架，固定座和移动座上设有切割机构、调节机构和冷却液回收机构<sep>本发明通过可移动的主导轨配合多组可分段拼接的拼接导轨可将装置的长度和体积大大缩小，使装置的运输和储存更加方便，且通过伺服电机可对切割角度的精确控制，避免了手动调节存在的误差造成装配困难，两组可调节式的移动托架对切割后的型材起到托放的作用，防止了型材掉落造成型材损伤。
11	一种用于精密机械零部件加工的焊接辅助装置<sep>本发明提供一种用于精密机械零部件加工的焊接辅助装置<sep>包括:移动板，定位槽，卡件，固定件，调节杆，导向板，夹杆，手动杆，内杆，固定头和夹板；所述主体为矩形结构，且主体的底部边角位置设有弧形结构的翻转槽，且主体的内部设有内仓，并且主体的前端通过转轴安装有闭合板，且主体的上方中间位置设有数个半圆形结构的卡孔，且翻转槽的内部设有圆形结构的插孔<sep>所述翻转件的两侧通过连接轴与主体的内部相连接，此处的翻转件是用来带动移动轮进行翻转的，使得本装置在需要移动的时候，可以通过翻转件来使移动轮与地面接触，使得本装置可以按照需求进行便捷的移动，而当本装置需要固定使用的时候，只需要将翻转件翻转。
11	一种基于强化学习的多轴数控机床加工路径优化方法<sep>本发明属于数控机床领域<sep>并公开了一种基于强化学习的多轴数控机床加工路径优化方法，该方法包括：(a)建立数控机床各轴的转角行程与预设刀具路径中刀位点和刀具姿态之间的关系式；计算每个刀位点对应的冗余轴转角行程可行解范围；(b)将冗余轴转角行程可行解范围映射在平面坐标系中，在平面坐标系中形成冗余轴转角行程的可行域；(c)利用强化学习算法求解每个刀位点对应的最优冗余轴转角行程，使得数控机床平滑运动的同时完成加工的时间最短；(d)计算每个刀位点处数控机床其它各轴的转角行程，以此获得最终所需的数控机床加工路径<sep>通过本发明，相比于无冗余轴的五轴数控机床加工以及使用传统方式进行去冗余的计算方案，提高加工效率
11	一种无前视距离的对接拼缝复合视觉检测系统及方法<sep>本发明属于焊接自动控制技术领域<sep>并具体公开了一种无前视距离的对接拼缝复合视觉检测系统及方法，其复合了视觉测量装置和光谱测量装置，利用视觉测量装置采集激光焊接点处的拼缝图像，并将拼缝图像传入工业计算机中，其包括点光源以及依次相连的ccd相机、光学镜头和滤光片，点光源投射的光斑与焊接的熔池相交，ccd相机位于光斑的正上方，利用光谱测量装置测量激光焊接点处等离子体的光谱信号，并将光谱信号传入工业计算机中，其包括彼此相连的光谱仪和准直器，准直器对准熔池<sep>本发明可直接观测熔池而稳定的获取拼缝位置，具有检测准确、误差小、检测稳定的优点，适用于激光焊接中拼缝的检测
11	一种钢架落地带式输送机专用自动调偏装置<sep>本实用新型涉及输送装置技术领域<sep>公开了一种钢架落地带式输送机专用自动调偏装置，包括支架、纵梁、槽型托辊组、平托辊、上横梁、下横梁和立辊，纵梁固定于支架上，支架下方设有平托辊，下横梁设置于平托辊上方，下横梁两端与纵梁通过调节装置固定连接，上横梁位于下横梁上方且上横梁两端固定连接槽型托辊组，上横梁和下横梁之间通过转动机构转动连接，上横梁两侧设有立辊<sep>本实用新型的有益效果为：结构合理，能够起到自动调偏的作用，大大减轻了操作人员的劳动强度，提高物料运输效率，同时降低了胶带跑偏而造成胶带撕裂等隐患，满足了自动化生产的需要
11	一种柔性制造单元智能控制系统<sep>本发明属于自动控制技术领域<sep>具体的说是一种柔性制造单元智能控制系统，包括客户端、任务接受终端、任务调度模块、设备监控模块、加工处理模块、数据传输模块和数据处理模块；所述客户端用于接受客户的订单；所述任务接受终端接受并读取来自客户端中的订单信息，任务接受终端向任务调度模块传输任务信息；所述任务调度模块将从任务接受终端接受到的任务传输到设备监控模块<sep>通过数据处理模块将生产的产品参数调出，并与修改后的参数做对比，提取出已生产的产品与修改后的产品间的差异，并通过产品修复单元将已生产的产品直接修复到客户所需的产品上，加快了生产的速度，同时将低了生产的成本
11	机器人、机器人控制系统、机器人控制方法以及存储介质<sep>本发明涉及机器人、机器人控制系统、机器人控制方法以及存储介质。即使在周围存在多个机器人的情况下<sep>各机器人也分别使本机有效地吸引注意。机器人(100)具备人检测部(113)、吸引注意许可部、以及动作控制部(114)。人检测部(113)检测人。吸引注意许可部许可进行引起人的兴趣的吸引注意动作<sep>动作控制部(114)在人检测部(113)检测到人，由吸引注意许可部许可进行吸引注意动作的情况下，进行吸引注意动作
11	一种切割机<sep>本发明公开了一种pvc短管切割机<sep>包括切割机工作台，所述切割机工作台固定安装在地面上，所述切割机工作台内设有旋转机构，所述旋转机构上设有升降机构，所述升降机构内设有圆柱形液压缸机构，所述升降机构上方设有固定机构，所述切割机工作台上设有定位机构，所述切割机工作台上设有切割机构，所述切割机构外设有安全防护外壳，所述切割机工作台内设有收集机构，所述切割机工作台一侧设有控制器，所述控制器内设有电容显示屏，所述控制器内设有工业用电接口，所述控制器内设有信号接收器，所述控制器内设有plc系统<sep>本发明的有益效果是，结构简单，实用性强
