label	text
34	设置在制导飞行器上的扰流板系统及应用其的方法<sep>本发明公开了一种设置在制导飞行器上的扰流板系统及应用其的方法<sep>该系统包括设置在飞行器尾部内部的扰流板，该能够从飞行器内部伸出或收回；当所述扰流板从飞行器内部伸出时能够改变飞行器的飞行姿态，由于飞行器在行进过程中是持续旋转的，所以扰流板在飞行器上的方位也是事实变化的，通过调节扰流板伸出的时机，能够通过扰流板为飞行器提供不同的作用力和力矩，当扰流板位于飞行器上方时伸出，能够提供促使飞行器前端上扬的作用力<sep>当扰流板位于飞行器左侧时伸出，能够提供促使飞行器前端左偏的作用力。
34	航天器再入返回轨道规划方法<sep>本发明涉及一种航天器再入返回轨道规划方法<sep>包括步骤：a.确定航天器再入返回轨道的再入点位置和速度；b.确定返回轨道规划的参数变量；c.建立返回轨道规划方程；d.返回轨道计算；e.计算倾侧角时间曲线；f.规划航天器再入返回轨道的再入过载；g.重复步骤a～f，迭代求解航天器返回轨道<sep>根据本发明的航天器再入返回轨道规划方法，采用该方法可以快速设计航天器的返回轨道，对近地轨道返回和深空跳跃式返回的返回轨道设计有一定的参考价值
34	一种新型直升机搭载探测仪器吊挂<sep>一种直升机搭载探测仪器吊挂属于空间空间探测仪器搭载技术领域<sep>目的在于解决现有技术存在的闲时所占空间较大以及探测数据及分析不准确的问题<sep>本发明包括：外框架；设置在外框架上端的姿态调节机构；设置在姿态调节机构上端通过分离机构连接的角度调整机构，角度调整机构上端通过牵引绳索和直升机连接，通过角度调整机构调整整个吊挂的角度；通过分离机构实现姿态调节机构和角度调整机构连接的分离；设置在外框架内的重心调节机构，通过重心调节机构调节外框架及搭载在外框架上的结构的重心；设置在外框架上的折叠机构，通过折叠机构带动搭载的探测仪器收放；以及设置在外框架上的控制单元，通过控制单元控制整个吊挂动作
34	用于提供自主摄影及摄像的系统和方法<sep>一种航空系统包括处理系统、光学系统、致动系统和升力机构<sep>所述航空系统包括至少部分地由处理系统22、光学系统26、致动系统28和升力机构32实现的自主摄影和/或摄影系统70<sep>自主摄影和/或摄像系统实施以下步骤：确立期望的飞行轨线，检测目标，相对于目标利用升力机构、根据期望的飞行轨线控制航空系统的飞行，以及控制摄像机以捕获图片和/或视频
34	基于多系绳连接点对空间失稳目标的绕飞消旋控制方法<sep>本发明公开了基于多系绳连接点对空间失稳目标的绕飞消旋控制方法<sep>包括：飞行器利用网状捕获载荷捕获失稳目标形成系绳连接；根据目标形状将网状捕获载荷与目标的接触等效为多个系绳连接点；飞行器对目标进行主动绕飞，根据目标姿态运动及系绳伸展方向判断目标上的主系绳连接点，根据主系绳连接点计算所需期望张力，利用系绳张力控制机构输出所需张力，实现对目标的消旋控制，判断连续消旋结束时间阈值t时间内目标角速度ω是否小于等于ω，若满足则绕飞消旋控制结束，若不满足则维持<sep>本发明解决了飞行器利用网状捕获载荷沿自旋轴方向捕获失稳目标后，利用多系绳连接点对失稳目标的消旋控制难题，为利用网状捕获载荷拖曳移除空间碎片提供了先决条件
34	具有风扇和在动力涡轮轴上的减速装置的涡轮发动机<sep>本发明涉及一种飞行器推进组件<sep>包括涡轮(15)、至少一个风扇(10)以及用于在涡轮和风扇之间传输动力的机构，其特征在于，该动力传输机构包括减速器(20)，该减速器具有移动输入端和移动输出端<sep>该输入端处于涡轮的轴(16)的延长部中
34	单侧多节点的仿生扑翼飞行器<sep>本发明公开了一种单侧多节点的仿生扑翼飞行器<sep>该单侧多节点的仿生扑翼飞行器包括：机翼本体以及两个机翼折叠结构，每一机翼折叠结构包括：第一连杆、第一关节结构、第一臂、第二臂、第三臂、第二关节结构、第三关节结构、第二连杆、驱动机构以及驱动定位件；第一连杆的第一端连接机翼本体，第二端连接第二臂的第一端；第一臂连接机翼本体，第二端连接第一关节结构；第一臂、第二臂、第三臂以及第二连杆形成四连杆机构；驱动机构设置在机翼本体上，输出端通过驱动定位件连接第三臂，并通过驱动定位件带动第三臂以第二关节结构为中心朝第一方向旋转以达到机翼展开状态，朝第二方向旋转以达到机翼收拢状态<sep>本发明能实现机翼的主动式折叠及飞行
34	一种舱门连接组件<sep>本发明提供了一种舱门连接组件<sep>包括连接销、连接套以及连接连接销和连接套的连接螺钉。连接销固定设置于舱门上，连接套固定设置于航天器的门框上，连接销上设置有贯穿连接销的第一通孔，且第一通孔为光孔，连接套上设置有第二通孔，且第二通孔设置有内螺纹，连接螺钉包括依次连接的螺钉头、光杆段和连接螺纹段，连接螺钉的连接螺纹段穿过第一通孔后与第二通孔内的内螺纹配合，第一通孔在远离连接套的一端的孔壁上设置有用于防止连接螺钉脱离出第一通孔的止脱部。本技术方案通过连接螺钉将连接销和连接套连接在一起以实现舱门在门框上的紧密连接，其连接强度高<sep>有助于航天员在失重环境下打开和关闭舱门
34	一种运输飞机起飞绿色带确定方法<sep>本发明涉及一种运输飞机起飞绿色带确定方法<sep>本方法包括1)起飞绿色带下极限位置确定：和2)起飞绿色带上极限位置确定等步骤，本专利适用于运输类飞机采用平尾纵向配平的起飞绿色带确定飞行试验，规定了运输类飞机起飞绿色带试飞的具体方法，给出了试验流程<sep>能够有效规避试飞风险提高试飞效率
34	飞行器<sep>一种飞行器<sep>包括机身以及设置于所述机身内的感测组件和支撑件，所述机身包括主壳体。所述主壳体包括底壁以及与所述底壁相连的侧壁，所述侧壁与所述底壁共同围成收容空间。所述感测组件和支撑件收容于所述收容空间内，所述支撑件连接于所述底壁上，所述感测组件设置于所述支撑件上且与所述侧壁之间具有间隙<sep>所述飞行器将采用支撑件将所述感测组件设置于机身的底壁上并使所述感测组件与机身的侧壁保持间隙，能够有效减少或者消除所述感测组件受到的平行于所述底壁方向的震动
