label	text
28	利用余热为hcng发动机动力系统供氢的方法及系统<sep>本发明属于掺氢天然气(hcng)发动机应用领域<sep>具体涉及一种利用余热为hcng发动机动力系统高效精准供氢的方法及系统。本系统包括中高温固态金属氢化物储氢反应器、低温固态金属氢化物储氢反应器、燃料混合腔、火花塞点火式(si)发动机。中高、低温固态金属氢化物储氢反应器通过回收利用hcng发动机余热实现氢的高效释放。同时，双氢源可精准调控为天然气内燃机提供所需的掺混氢气，且能实现稳定供氢和掺氢燃烧<sep>本系统利用hcng发动机余热驱动固态双氢源系统实现高效精准稳定供氢，一方面提高了天然气发动机的综合热效率，另一方面可有效降低天然气发动机的污染排放量，达到天然气的清洁高效利用
28	基于高温高压电制热固态储热的矿井防冻送风系统及方法<sep>基于高温高压电制热固态储热的矿井防冻送风系统及方法<sep>该系统包括高温高压电制热固态储热装置（1）、风风换热器（2）、变频风机（3）、混风站（6）和设置在混风站（6）内的混风装置（7）；本发明优势在于，所采用高温高压电制热固态储热装置能利用低价电储热，减少供热成本；不使用煤作为燃料，减少对空气的污染；通过热风直接在混风站进行混风，减少换热过程中的热量损失<sep>通过自适应前馈补偿控制器使系统稳定供热。
28	空压机余热利用装置<sep>本发明公开了一种空压机余热利用装置<sep>包括机架，还包括机架上依次设置的容纳高温油液的油路单元、换热单元以及低温水路单元；低温水路单元包括地暖换热进水管、地暖换热出水管；油路单元包括绕空压机设置的循环油管；换热单元包括设置在循环油管内的换热管和支撑架，其中换热管包括相互连通的呈螺旋状的搅动段以及呈弧形的转弯段，搅动段与支撑架之间转动连接<sep>本发明结构简单，能够提高空压机余热利用效率
28	水泥回转窑用余热回收装置<sep>本发明提供了一种水泥回转窑用余热回收装置<sep>包括箱体、凹槽和导流体；所述箱体的右端平面的下端垂直外接有烟气进管，而箱体的右端平面的上端则垂直外接有热水外排管；所述箱体的左端平面的下端垂直外接有烟气进管，而箱体的左端平面的上端则垂直外接有冷水进管<sep>本发明提供了一种水泥回转窑用余热回收装置，由于隔板整体为倒置的凸状结构，其隔板的下方为烟道，而隔板的内部为水道，从而形成烟道包围水道的状态，使得隔板拥有尽可能大的延展面积，提高传热效率，并且隔板的倾斜面的内壁和外壁上均固定安装有间隔均匀的外凸的传热球，通过传热球能够增加内外介质之间的传热接触机会，提高传热效率
28	一种氟盐冷却高温堆非能动余热排出系统自然循环特性模化方法<sep>本发明公开了一种氟盐冷却高温堆非能动余热排出系统自然循环实验模化方法<sep>包括：针对氟盐冷却高温堆非能动余热排出系统划分控制体，建立包括质量、动量、能量在内的流体动力学方程，建立考虑热构件与流体耦合传热的边界方程。选定特征尺度，将氟盐流体动力学方程以及边界条件方程无量纲化；获得能够反应氟盐冷却高温堆非能动余热排出系统自然循环特性的无量纲特征数组。依据非能动余排系统模化系统与原型系统无量纲特征数比值为1的原则，获得模化系统与原型系统主要特征参数的比例关系，设计原型系统与特征系统<sep>分别对原型系统与模化系统开展自然循环特性稳态与瞬态分析，比较二者主要无量纲参数间的比例关系，验证了模化分析方法的合理性
28	具有压力混配调节的工业供汽系统<sep>本实用新型提供了一种具有压力混配调节的工业供汽系统<sep>包括一锅炉及与所述锅炉通过管道连接的汽轮机，所述锅炉的主蒸汽出汽端还连接有工业供汽压力混配装置及调节系统压力混配装置，所述调节系统压力混配装置与所述锅炉的再热器进汽端连接，所述工业供汽压力混配装置的出汽端通过供汽减温器与用户需求端连接<sep>本实用新型的有益效果体现在：与现有的主蒸汽直接减温减压的方式相比本实用新型系统的能效更高；同时，在主汽减温减压的基础上提升了机组的供汽能力；在主汽抽汽能力受限的情况下，可以大幅提升主汽的抽汽能力；单机的高压供汽能力显著提升，避免了锅炉本体的改造，节约改造成本
28	一种节能型冷却塔热水蒸汽热能回收利用设备<sep>本实用新型公开了一种节能型冷却塔热水蒸汽热能回收利用设备<sep>包括回收箱，所述回收箱的中间位置贯穿安装有水箱，且连接管的右端连接有固定板，所述固定板的外表面固定安装有连接块，且连接块的内部贯穿安装有螺杆，所述连接管的左端贯穿安装有固定圈，且固定圈的内部贯穿安装有限位杆，所述固定圈的内壁固定安装有限位块，且限位块的内部贯穿安装有夹持块，所述夹持块与限位块之间通过第二弹簧相连接，所述连接管的左端连接有橡胶圈，且橡胶圈的外表面固定安装有承载块<sep>该节能型冷却塔热水蒸汽热能回收利用设备，不仅便于与冷却塔的排气口进行连接，而且能够阻止烟灰进入到该回收设备内部
28	一种悬浮窑焙烧系统<sep>本实用新型提供一种悬浮窑焙烧系统<sep>包括：前料仓、星型给料机、螺旋给料机、布料管、悬浮窑、排烟机、两个螺旋输料机、旋风分离器组、袋式除尘器；其中，前料仓连通星型给料机，星型给料机下方为螺旋给料机，该螺旋给料机通过布料管连通悬浮窑；悬浮窑底端下方有一个螺旋输料机。悬浮窑连通旋风分离器组，旋风分离器组底端下方为另一个螺旋输料机，旋风分离器组上部依次连通外部余热锅炉、袋式除尘器、排烟机。悬浮窑还连接外部控制器<sep>本实用新型所述一种悬浮窑焙烧系统具有产品质量高、无污染、节能程度非常高等特点，可广泛应用于矿产领域
28	一种蒸汽背压拖动机组及orc发电机组耦合系统<sep>本实用新型涉及工业节能技术领域<sep>具体涉及一种蒸汽背压拖动机组及orc发电机组耦合系统，包括蒸汽背压拖动机组和orc发电机组；蒸汽背压拖动机组包括沿蒸汽输送方向依次连通设置的锅炉和背压汽轮机；背压汽轮机的工作端与变速箱连接，变速箱与驱动电机连接；背压汽轮机设置有第一排汽出口和第二排汽出口，第一排汽出口通过蒸汽调节阀供用汽单位使用，第二排汽出口与orc发电机组连通；orc发电机组包含依次连通设置的蒸发器、有机工质透平机、有机工质预热器、凝汽器、有机工质泵<sep>与现有技术相比，本申请合理地把背压拖动机组和orc发电机组进行耦合起来，提高整个蒸汽系统的稳定性及效率。
28	一种工业锅炉<sep>本发明涉及锅炉技术领域<sep>具体的说是一种工业锅炉，包括锅炉本体、开关门、储料结构、泄压结构及进气结构，用于供煤燃烧和换热的锅炉本体连接有用于加煤的开关门，锅炉本体连接有用于加水、蒸汽出口的储料结构，锅炉本体连接有用于水蒸气泄压的泄压结构，锅炉本体连接有用于输送氧气使煤燃烧的进气结构，进气结构连接于泄压结构<sep>泄压结构与进气结构的配合使用，泄压结构使储水室内部水蒸气泄压的同时减低储料室内部的氧气通量，降低储料室内部煤的燃烧速率，防止储水室内部压力过大而损坏锅炉本体，使储水室内部泄压过程水蒸气产生量减少，使泄压口中流出的水蒸气量降低，减少水蒸气泄压后的损失。
